Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
26.0,0.0,2.0,2.0,2.0,2228.0,117619.0,0.0,18,0.0,10.0,03,003,M03.01,0300300013123034,bajo,Alto,Alto,La Paz
26.0,0.0,2.0,2.0,2.0,2228.0,117619.0,0.0,21,0.0,10.0,03,003,M03.01,0300300013123030,bajo,Alto,Alto,La Paz
60.0,0.0,2.0,2.0,2.0,1991.0,137073.0,0.0,25,203.0,50.0,03,003,M03.01,0300300013123031,bajo,Alto,Alto,La Paz
36.0,0.0,3.0,2.0,2.0,1847.0,136114.0,0.0,7,0.0,8.0,03,003,M03.01,0300300013123026,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,47,0.0,0.0,03,003,M03.01,0300300013180009,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,30,0.0,0.0,03,003,M03.01,0300300013180024,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,36,0.0,0.0,03,003,M03.01,0300300013180004,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,18,0.0,0.0,03,003,M03.01,0300300013180045,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,20,0.0,0.0,03,003,M03.01,0300300013180046,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,27,0.0,0.0,03,003,M03.01,0300300013180042,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,63,0.0,0.0,03,003,M03.01,0300300013180001,bajo,Alto,Alto,La Paz
159.0,2.0,5.0,2.0,0.0,4585.0,0.0,0.0,65,0.0,23.0,03,003,M03.01,0300300011926030,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,46,0.0,0.0,03,003,M03.01,0300300013180006,bajo,Alto,Alto,La Paz
114.0,2.0,6.0,0.0,0.0,2598.0,0.0,0.0,42,0.0,3.0,03,003,M03.01,0300300013180048,bajo,Alto,Alto,La Paz
153.0,2.0,4.0,2.0,1.0,5271.0,0.0,0.0,56,0.0,21.0,03,003,M03.01,0300300011964029,bajo,Alto,Alto,La Paz
153.0,2.0,4.0,2.0,1.0,5271.0,0.0,0.0,61,0.0,21.0,03,003,M03.01,0300300011964022,bajo,Alto,Alto,La Paz
136.0,2.0,3.0,2.0,1.0,6159.0,1081.0,0.0,68,0.0,20.0,03,003,M03.01,0300300011979037,bajo,Alto,Alto,La Paz
136.0,2.0,3.0,2.0,1.0,6159.0,1081.0,0.0,51,0.0,20.0,03,003,M03.01,0300300011979036,bajo,Alto,Alto,La Paz
153.0,2.0,4.0,2.0,1.0,5271.0,0.0,0.0,44,0.0,21.0,03,003,M03.01,0300300011964031,bajo,Alto,Alto,La Paz
153.0,2.0,4.0,2.0,1.0,5271.0,0.0,0.0,57,0.0,21.0,03,003,M03.01,0300300011964030,bajo,Alto,Alto,La Paz
