cve_ent,cve_mun,cve_sun,cvegeo,sun,gmu,iisu_sun,iisu_cd,Pob_2010,Empleo,E_basica,E_media,E_superior,Salud_cama,Salud_cons,Abasto,Espacio_ab,Cultura,Est_Tpte,geometry
03,003,M03.01,030030001341A012,La Paz,alto,Bajo,Intermedio,1,390.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,"POLYGON ((-110.295523359467 24.1141126539229, -110.29494163207855 24.11349868848512, -110.29541104157735 24.113015144964994, -110.2961248250153 24.11363195525387, -110.295523359467 24.1141126539229))"
03,003,M03.01,030030001341A022,La Paz,alto,Bajo,Intermedio,5,945.0,0.0,0.0,0.0,0.0,3.0,16.0,1199.0,0.0,0.0,"POLYGON ((-110.29487944247525 24.117539656177925, -110.29389679435529 24.117902448464978, -110.29366622996892 24.115718120229946, -110.29379781901112 24.11561295738056, -110.29479738380267 24.11746640374185, -110.29487944247525 24.117539656177925))"
03,003,M03.01,030030001341A029,La Paz,alto,Bajo,Intermedio,28,390.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,"POLYGON ((-110.29488557402416 24.1134464681448, -110.2945995364701 24.113107278767618, -110.29465596662116 24.112423988204448, -110.29469538749679 24.112416325597895, -110.29472759616651 24.112424542469377, -110.29535298926609 24.112964979119063, -110.29488557402416 24.1134464681448))"
03,003,M03.01,030030001341A025,La Paz,alto,Bajo,Intermedio,24,416.0,1.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,"POLYGON ((-110.29709800362191 24.111409846413295, -110.2964939655488 24.110776880511953, -110.29738728964037 24.1101040739338, -110.29792807439705 24.110753735816612, -110.29709800362191 24.111409846413295))"
03,003,M03.01,030030001341A024,La Paz,alto,Bajo,Intermedio,78,416.0,1.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,"POLYGON ((-110.2970533345981 24.11144515370502, -110.2960965421403 24.11220141369619, -110.29541685175998 24.1115880915895, -110.29579537812106 24.111303012565763, -110.29614470170783 24.111717221949355, -110.29617176213782 24.11169409326043, -110.29620076428736 24.11166930495893, -110.29584766111411 24.111263636572737, -110.29644837209885 24.1108112188601, -110.2970533345981 24.11144515370502))"
03,003,M03.01,030030001341A014,La Paz,alto,Bajo,Intermedio,33,390.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,"POLYGON ((-110.2965136884928 24.111968334060805, -110.29727850013124 24.1127099068863, -110.29695054772951 24.112972017594707, -110.29615350007731 24.112252809585005, -110.2965136884928 24.111968334060805))"
03,003,M03.01,030030001341A016,La Paz,alto,Bajo,Intermedio,71,612.0,3.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,"POLYGON ((-110.29870093914572 24.11157302434732, -110.29787993639093 24.112229213884348, -110.297150783436 24.111465153487416, -110.29797709623847 24.11081251774601, -110.29870093914572 24.11157302434732))"
03,003,M03.01,030030001341A015,La Paz,alto,Bajo,Intermedio,36,390.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,"POLYGON ((-110.2971060995626 24.111500445239372, -110.29783548065092 24.112264744978322, -110.29732460071264 24.11267306158954, -110.29655821953939 24.11193316344995, -110.2971060995626 24.111500445239372))"
03,003,M03.01,030030001341A008,La Paz,alto,Bajo,Intermedio,19,783.0,3.0,0.0,0.0,0.0,1.0,34.0,61323.0,0.0,0.0,"POLYGON ((-110.30118553921967 24.114066541204654, -110.30077506254744 24.11363529829154, -110.30144374033051 24.113179623387836, -110.30173500878142 24.113591074458512, -110.30118553921967 24.114066541204654))"
03,003,M03.01,030030001341A013,La Paz,alto,Bajo,Intermedio,33,390.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,"POLYGON ((-110.29609773933315 24.112307761227353, -110.29688868305954 24.113021461739446, -110.2961757575334 24.11359124907927, -110.29545576561597 24.112969074004717, -110.29609773933315 24.112307761227353))"
03,003,M03.01,030030001341A023,La Paz,alto,Bajo,Intermedio,61,390.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,"POLYGON ((-110.29604083469988 24.112256413417402, -110.2953977133071 24.11291890817555, -110.29458374999662 24.112215516440898, -110.29489493920732 24.111981155173726, -110.29511162451267 24.112188044559044, -110.29512894859847 24.112175427785704, -110.29514785016028 24.112161303495714, -110.29493243823251 24.111952913992436, -110.29535326457604 24.111635980695375, -110.29604083469988 24.112256413417402))"
03,003,M03.01,030030001341A018,La Paz,alto,Bajo,Intermedio,97,629.0,3.0,0.0,0.0,0.0,1.0,36.0,1632.0,0.0,0.0,"POLYGON ((-110.30136135085756 24.10956787257465, -110.3025150041247 24.110654217993385, -110.30159452945196 24.11127772617811, -110.30055432071643 24.110212929974782, -110.30136135085756 24.10956787257465))"
03,003,M03.01,030030001341A017,La Paz,alto,Bajo,Intermedio,112,612.0,3.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,"POLYGON ((-110.2997228485379 24.110756243600658, -110.2992430468744 24.11113973649879, -110.29881433672979 24.110735829567144, -110.29879370794218 24.110747952119375, -110.29877250349713 24.11076041295262, -110.29919438699574 24.111178628848783, -110.29876409960816 24.111522542641154, -110.29804097194618 24.110762067167336, -110.2990843292203 24.10993798879317, -110.2997228485379 24.110756243600658))"
03,003,M03.01,030030001341A005,La Paz,alto,Bajo,Intermedio,34,629.0,3.0,0.0,0.0,0.0,1.0,36.0,1632.0,0.0,0.0,"POLYGON ((-110.30049261401079 24.110262251557202, -110.30152839953506 24.111322520595188, -110.30064112582983 24.11192352723431, -110.29983604750835 24.110787034949944, -110.30049261401079 24.110262251557202))"
03,003,M03.01,030030001341A026,La Paz,alto,Bajo,Intermedio,76,612.0,3.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,"POLYGON ((-110.29799198530976 24.110703218413136, -110.29745241932537 24.110055021056453, -110.29857326097702 24.109283051718982, -110.29903693072836 24.1098772476835, -110.29799198530976 24.110703218413136))"
03,003,M03.01,030030001341A004,La Paz,alto,Bajo,Intermedio,53,642.0,3.0,0.0,0.0,0.0,1.0,33.0,673.0,0.0,0.0,"POLYGON ((-110.29973192791623 24.112539373158754, -110.29882965332361 24.111591416105348, -110.29978071500953 24.110830324918822, -110.3005826131216 24.11196316120987, -110.29973192791623 24.112539373158754))"
03,003,M03.01,030030001341A027,La Paz,alto,Bajo,Intermedio,80,629.0,3.0,0.0,0.0,0.0,1.0,36.0,1632.0,0.0,0.0,"POLYGON ((-110.30259046031264 24.11060310519952, -110.30143152236931 24.109511784123885, -110.30214160723393 24.108944204979263, -110.30352708707498 24.10996864287406, -110.30259046031264 24.11060310519952))"
03,003,M03.01,030030001341A007,La Paz,alto,Bajo,Intermedio,10,783.0,3.0,0.0,0.0,0.0,1.0,34.0,61323.0,0.0,0.0,"POLYGON ((-110.30179607810861 24.113555050988392, -110.30150213869551 24.11313982713782, -110.30189344531615 24.112873165423938, -110.30252347276912 24.11234109221375, -110.30286759485372 24.11269333545132, -110.30179607810861 24.113555050988392))"
03,003,M03.01,030030001341A020,La Paz,alto,Bajo,Intermedio,54,936.0,3.0,0.0,0.0,0.0,1.0,35.0,22200.0,0.0,0.0,"POLYGON ((-110.30436166201456 24.110585722281055, -110.3045902165322 24.11075471222963, -110.30507861341843 24.111115823309685, -110.30501240895222 24.111292197745797, -110.30500370313659 24.111539379538094, -110.30507804056927 24.111740432941925, -110.30466990497449 24.111906375607038, -110.30425256175853 24.112027619015397, -110.30375116924418 24.112156385478908, -110.3031976081753 24.112387202298724, -110.30289816660802 24.112612143019053, -110.30258368572946 24.112290240558696, -110.30309980699361 24.111854357958933, -110.30436166201456 24.110585722281055))"
03,003,M03.01,030030001341A006,La Paz,alto,Bajo,Intermedio,18,783.0,3.0,0.0,0.0,0.0,1.0,34.0,61323.0,0.0,0.0,"POLYGON ((-110.30144883998852 24.11306453612915, -110.30068976611042 24.111992239096498, -110.30158816409825 24.11138369711268, -110.30245733311222 24.11227339137962, -110.30182397172501 24.11280889711621, -110.30144883998852 24.11306453612915))"
