latitud,longitud,fecha,t_mean_2m_12h,relative_humidity_mean_2m_12h,precip_12h,air_quality
24.108736,-110.354364,2024-02-16T00:00:00Z,19.9,62.2,0.0,1.0
24.108736,-110.354364,2024-02-16T12:00:00Z,18.6,58.2,0.0,0.0
24.108736,-110.354364,2024-02-17T00:00:00Z,20.7,57.3,0.0,1.0
24.108736,-110.354364,2024-02-17T12:00:00Z,17.9,63.7,0.0,0.0
24.108736,-110.354364,2024-02-18T00:00:00Z,22.0,41.8,0.0,1.0
24.108736,-110.354364,2024-02-18T12:00:00Z,19.3,62.4,0.0,0.0
24.108736,-110.354364,2024-02-19T00:00:00Z,23.4,39.1,0.0,1.0
24.108736,-110.354364,2024-02-19T12:00:00Z,20.6,53.4,0.0,0.0
24.108736,-110.354364,2024-02-20T00:00:00Z,24.4,40.9,0.0,1.0
24.108736,-110.354364,2024-02-20T12:00:00Z,21.9,54.3,0.0,0.0
24.108736,-110.354364,2024-02-21T00:00:00Z,24.9,40.6,0.0,1.0
24.108736,-110.354364,2024-02-21T12:00:00Z,19.9,54.8,0.0,0.0
24.108736,-110.354364,2024-02-22T00:00:00Z,22.7,40.4,0.0,1.0
24.108736,-110.354364,2024-02-22T12:00:00Z,19.9,74.6,0.0,1.0
24.108736,-110.354364,2024-02-23T00:00:00Z,22.1,61.3,0.0,1.0
24.108736,-110.354364,2024-02-23T12:00:00Z,19.8,73.8,0.0,1.0
24.108736,-110.354364,2024-02-24T00:00:00Z,22.6,60.1,0.0,1.0
24.108736,-110.354364,2024-02-24T12:00:00Z,19.7,72.2,0.0,1.0
24.108736,-110.354364,2024-02-25T00:00:00Z,23.3,47.1,0.0,1.0
24.108736,-110.354364,2024-02-25T12:00:00Z,19.6,61.2,0.0,0.0
24.108736,-110.354364,2024-02-26T00:00:00Z,25.1,40.2,0.0,1.0
24.108736,-110.354364,2024-02-26T12:00:00Z,21.4,55.8,0.0,0.0
24.108736,-110.354364,2024-02-27T00:00:00Z,26.5,32.8,0.0,1.0
24.108736,-110.354364,2024-02-27T12:00:00Z,20.8,72.5,0.0,0.0
24.108736,-110.354364,2024-02-28T00:00:00Z,23.2,61.3,0.0,1.0
24.108736,-110.354364,2024-02-28T12:00:00Z,22.4,66.0,0.0,0.0
24.108736,-110.354364,2024-02-29T00:00:00Z,23.3,64.6,0.0,0.0
24.108736,-110.354364,2024-02-29T12:00:00Z,20.6,79.5,0.0,0.0
24.108736,-110.354364,2024-03-01T00:00:00Z,23.0,60.9,0.0,1.0
24.108736,-110.354364,2024-03-01T12:00:00Z,20.1,71.5,0.0,1.0
24.108736,-110.354364,2024-03-02T00:00:00Z,23.7,45.4,0.0,1.0
24.108736,-110.354364,2024-03-02T12:00:00Z,20.0,54.7,0.0,0.0
24.108736,-110.354364,2024-03-03T00:00:00Z,23.1,41.3,0.0,1.0
24.108736,-110.354364,2024-03-03T12:00:00Z,19.9,62.9,0.0,0.0
24.108736,-110.354364,2024-03-04T00:00:00Z,22.4,47.4,0.0,1.0
24.108736,-110.354364,2024-03-04T12:00:00Z,20.4,64.4,0.0,1.0
24.108736,-110.354364,2024-03-05T00:00:00Z,22.0,52.3,0.0,1.0
24.108736,-110.354364,2024-03-05T12:00:00Z,20.0,71.3,0.0,0.0
24.108736,-110.354364,2024-03-06T00:00:00Z,22.9,62.6,0.0,1.0
24.108736,-110.354364,2024-03-06T12:00:00Z,19.7,75.3,0.0,0.0
24.108736,-110.354364,2024-03-07T00:00:00Z,24.3,35.1,0.0,1.0
24.108736,-110.354364,2024-03-07T12:00:00Z,19.6,63.5,0.0,0.0
24.108736,-110.354364,2024-03-08T00:00:00Z,21.4,43.4,0.0,1.0
24.108736,-110.354364,2024-03-08T12:00:00Z,19.2,55.7,0.0,1.0
24.108736,-110.354364,2024-03-09T00:00:00Z,20.2,53.5,0.0,1.0
24.108736,-110.354364,2024-03-09T12:00:00Z,19.6,67.0,0.0,1.0
24.108736,-110.354364,2024-03-10T00:00:00Z,21.9,57.3,0.0,1.0
24.108736,-110.354364,2024-03-10T12:00:00Z,20.5,63.3,0.0,1.0
24.108736,-110.354364,2024-03-11T00:00:00Z,22.9,44.7,0.22,1.0
24.108736,-110.354364,2024-03-11T12:00:00Z,19.4,61.2,0.0,0.0
24.108736,-110.354364,2024-03-12T00:00:00Z,23.1,41.5,0.0,1.0
24.108736,-110.354364,2024-03-12T12:00:00Z,21.8,42.6,0.0,1.0
24.108736,-110.354364,2024-03-13T00:00:00Z,24.7,33.2,0.18,1.0
24.108736,-110.354364,2024-03-13T12:00:00Z,20.7,58.4,0.0,0.0
24.108736,-110.354364,2024-03-14T00:00:00Z,24.4,36.0,0.0,1.0
24.108736,-110.354364,2024-03-14T12:00:00Z,21.2,61.4,0.0,0.0
24.108736,-110.354364,2024-03-15T00:00:00Z,22.8,50.2,0.0,1.0
24.108736,-110.354364,2024-03-15T12:00:00Z,18.2,70.7,0.0,1.0
24.108736,-110.354364,2024-03-16T00:00:00Z,21.3,58.0,0.0,1.0
